,date,acc_decide,acc_recovered,acc_death
0,2020-01-20,1,0,0
1,2020-01-21,1,0,0
2,2020-01-22,1,0,0
3,2020-01-23,1,0,0
4,2020-01-24,2,0,0
5,2020-01-25,2,0,0
6,2020-01-26,3,0,0
7,2020-01-27,4,0,0
8,2020-01-28,4,0,0
9,2020-01-29,4,0,0
10,2020-01-30,4,0,0
11,2020-01-31,11,0,0
12,2020-02-01,12,0,0
13,2020-02-02,15,0,0
14,2020-02-03,15,0,0
15,2020-02-04,16,0,0
16,2020-02-05,19,0,0
17,2020-02-06,23,0,0
18,2020-02-07,24,1,0
19,2020-02-08,24,1,0
20,2020-02-09,25,3,0
21,2020-02-10,27,3,0
22,2020-02-11,28,3,0
23,2020-02-12,28,7,0
24,2020-02-13,28,7,0
25,2020-02-14,28,7,0
26,2020-02-15,28,9,0
27,2020-02-16,29,10,0
28,2020-02-17,30,12,0
29,2020-02-18,31,16,0
30,2020-02-19,31,16,0
31,2020-02-20,104,17,1
32,2020-02-21,204,18,2
33,2020-02-22,433,18,2
34,2020-02-23,602,22,6
35,2020-02-24,833,22,8
36,2020-02-25,977,24,10
37,2020-02-26,1261,26,12
38,2020-02-27,1766,27,13
39,2020-02-28,2337,28,13
40,2020-02-29,3150,30,16
41,2020-03-01,3736,31,17
42,2020-03-02,4335,34,28
43,2020-03-03,5186,41,28
44,2020-03-04,5621,88,35
45,2020-03-05,6088,108,35
46,2020-03-06,6593,118,42
47,2020-03-07,7041,130,44
48,2020-03-08,7314,166,50
49,2020-03-09,7478,247,53
50,2020-03-10,7513,288,54
51,2020-03-11,7755,333,60
52,2020-03-12,7869,510,66
53,2020-03-13,7979,714,66
54,2020-03-14,8086,834,72
55,2020-03-15,8162,1137,75
56,2020-03-16,8236,1401,75
57,2020-03-17,8320,1540,81
58,2020-03-18,8413,1947,84
59,2020-03-19,8565,2233,91
60,2020-03-20,8652,2612,94
61,2020-03-21,8799,2909,102
62,2020-03-22,8961,3166,111
63,2020-03-23,8961,3507,111
64,2020-03-24,9037,3730,120
65,2020-03-25,9137,4144,126
66,2020-03-26,9241,4528,131
67,2020-03-27,9332,4811,139
68,2020-03-28,9478,5033,144
69,2020-03-29,9583,5228,152
70,2020-03-30,9661,5408,158
71,2020-03-31,9786,5567,162
72,2020-04-01,9887,5828,165
73,2020-04-02,9976,6021,169
74,2020-04-03,10062,6325,174
75,2020-04-04,10156,6463,177
76,2020-04-05,10237,6598,183
77,2020-04-06,10284,6694,186
78,2020-04-07,10331,6776,192
79,2020-04-08,10384,6973,200
80,2020-04-09,10423,7117,204
81,2020-04-10,10450,7243,208
82,2020-04-11,10480,7368,211
83,2020-04-12,10512,7447,214
84,2020-04-13,10537,7534,217
85,2020-04-14,10564,7616,222
86,2020-04-15,10591,7757,225
87,2020-04-16,10613,7829,229
88,2020-04-17,10635,7937,230
89,2020-04-18,10653,8042,232
90,2020-04-19,10661,8114,234
91,2020-04-20,10674,8213,236
92,2020-04-21,10683,8277,237
93,2020-04-22,10694,8411,238
94,2020-04-23,10708,8501,240
95,2020-04-24,10718,8635,240
96,2020-04-25,10728,8717,242
97,2020-04-26,10738,8764,243
98,2020-04-27,10752,8854,244
99,2020-04-28,10761,8922,246
100,2020-04-29,10765,9059,247
101,2020-04-30,10774,9072,248
102,2020-05-01,10780,9123,250
103,2020-05-02,10793,9183,250
104,2020-05-03,10801,9217,252
105,2020-05-04,10804,9283,254
106,2020-05-05,10806,9333,255
107,2020-05-06,10810,9419,256
108,2020-05-07,10822,9484,256
109,2020-05-08,10840,9568,256
110,2020-05-09,10874,9610,256
111,2020-05-10,10909,9632,256
112,2020-05-11,10936,9670,258
113,2020-05-12,10962,9695,259
114,2020-05-13,10991,9762,260
115,2020-05-14,11018,9821,260
116,2020-05-15,11037,9851,262
117,2020-05-16,11050,9888,262
118,2020-05-17,11065,9904,263
119,2020-05-18,11078,9938,263
120,2020-05-19,11110,10066,263
121,2020-05-20,11122,10135,264
122,2020-05-21,11142,10162,264
123,2020-05-22,11165,10194,266
124,2020-05-23,11190,10213,266
125,2020-05-24,11206,10226,267
126,2020-05-25,11225,10275,269
127,2020-05-26,11265,10295,269
128,2020-05-27,11344,10340,269
129,2020-05-28,11402,10363,269
130,2020-05-29,11441,10398,269
131,2020-05-30,11468,10405,270
132,2020-05-31,11503,10422,271
133,2020-06-01,11541,10446,272
134,2020-06-02,11590,10467,273
135,2020-06-03,11629,10499,273
136,2020-06-04,11668,10506,273
137,2020-06-05,11719,10531,273
138,2020-06-06,11776,10552,273
139,2020-06-07,11814,10563,273
140,2020-06-08,11852,10589,274
141,2020-06-09,11902,10611,276
142,2020-06-10,11947,10654,276
143,2020-06-11,12003,10669,277
144,2020-06-12,12051,10691,277
145,2020-06-13,12085,10718,277
146,2020-06-14,12121,10730,277
147,2020-06-15,12155,10760,278
148,2020-06-16,12198,10774,279
149,2020-06-17,12257,10800,280
150,2020-06-18,12306,10835,280
151,2020-06-19,12373,10856,280
152,2020-06-20,12421,10868,280
153,2020-06-21,12438,10881,280
154,2020-06-22,12484,10908,281
155,2020-06-23,12535,10930,281
156,2020-06-24,12563,10974,282
157,2020-06-25,12602,11172,282
158,2020-06-26,12653,11317,282
159,2020-06-27,12715,11364,282
160,2020-06-28,12757,11429,282
161,2020-06-29,12800,11537,282
162,2020-06-30,12850,11613,282
163,2020-07-01,12904,11684,282
164,2020-07-02,12967,11759,282
165,2020-07-03,13030,11811,283
166,2020-07-04,13091,11832,283
167,2020-07-05,13137,11848,284
168,2020-07-06,13181,11914,285
169,2020-07-07,13244,11970,285
170,2020-07-08,13293,12019,287
171,2020-07-09,13338,12065,288
172,2020-07-10,13373,12144,288
173,2020-07-11,13417,12178,289
174,2020-07-12,13479,12204,289
175,2020-07-13,13512,12282,289
176,2020-07-14,13551,12348,289
177,2020-07-15,13612,12396,291
178,2020-07-16,13672,12460,293
179,2020-07-17,13711,12519,294
180,2020-07-18,13745,12556,295
181,2020-07-19,13771,12572,296
182,2020-07-20,13816,12643,296
183,2020-07-21,13879,12698,297
184,2020-07-22,13938,12758,297
185,2020-07-23,13979,12817,298
186,2020-07-24,14092,12866,298
187,2020-07-25,14150,12890,298
188,2020-07-26,14175,12905,299
189,2020-07-27,14203,13007,300
190,2020-07-28,14251,13069,300
191,2020-07-29,14269,13132,300
192,2020-07-30,14305,13183,301
193,2020-07-31,14336,13233,301
194,2020-08-01,14366,13259,301
195,2020-08-02,14389,13280,301
196,2020-08-03,14423,13352,301
197,2020-08-04,14456,13406,302
198,2020-08-05,14499,13501,302
199,2020-08-06,14519,13543,303
200,2020-08-07,14562,13629,304
201,2020-08-08,14598,13642,305
202,2020-08-09,14626,13658,305
203,2020-08-10,14660,13729,305
204,2020-08-11,14714,13786,305
205,2020-08-12,14770,13817,305
206,2020-08-13,14873,13863,305
207,2020-08-14,15039,13901,305
208,2020-08-15,15318,13910,305
209,2020-08-16,15515,13917,305
210,2020-08-17,15761,13934,306
211,2020-08-18,16058,14006,306
212,2020-08-19,16346,14063,307
213,2020-08-20,16670,14120,309
214,2020-08-21,17002,14169,309
215,2020-08-22,17399,14200,309
216,2020-08-23,17665,14219,309
217,2020-08-24,17945,14286,310
218,2020-08-25,18265,14368,312
219,2020-08-26,18706,14461,313
220,2020-08-27,19077,14551,316
221,2020-08-28,19400,14765,321
222,2020-08-29,19699,14903,323
223,2020-08-30,19947,14973,324
224,2020-08-31,20182,15198,324
225,2020-09-01,20449,15356,326
226,2020-09-02,20644,15529,329
227,2020-09-03,20842,15783,331
228,2020-09-04,21010,16009,333
229,2020-09-05,21177,16146,334
230,2020-09-06,21296,16297,336
231,2020-09-07,21432,16636,341
232,2020-09-08,21588,17023,344
233,2020-09-09,21743,17360,346
234,2020-09-10,21919,17616,350
235,2020-09-11,22055,18029,355
236,2020-09-12,22176,18226,358
237,2020-09-13,22285,18489,363
238,2020-09-14,22391,18878,367
239,2020-09-15,22504,19310,367
240,2020-09-16,22657,19543,372
241,2020-09-17,22783,19771,377
242,2020-09-18,22893,19970,378
243,2020-09-19,22975,20158,383
244,2020-09-20,23045,20248,385
245,2020-09-21,23106,20441,388
246,2020-09-22,23216,20650,388
247,2020-09-23,23341,20832,393
248,2020-09-24,23455,20978,395
249,2020-09-25,23516,21166,399
250,2020-09-26,23611,21248,401
251,2020-09-27,23661,21292,406
252,2020-09-28,23699,21470,407
253,2020-09-29,23812,21590,413
254,2020-09-30,23889,21666,415
255,2020-10-01,23952,21733,416
256,2020-10-02,24027,21787,420
257,2020-10-03,24091,21845,421
258,2020-10-04,24164,21886,422
259,2020-10-05,24239,22083,422
260,2020-10-06,24353,22334,425
261,2020-10-07,24422,22463,427
262,2020-10-08,24476,22569,428
263,2020-10-09,24548,22624,430
264,2020-10-10,24606,22693,432
265,2020-10-11,24703,22729,433
266,2020-10-12,24805,22863,434
267,2020-10-13,24889,23030,438
268,2020-10-14,24988,23082,439
269,2020-10-15,25035,23180,441
270,2020-10-16,25108,23258,443
271,2020-10-17,25199,23312,444
272,2020-10-18,25275,23368,444
273,2020-10-19,25333,23466,447
274,2020-10-20,25424,23584,450
275,2020-10-21,25543,23647,453
276,2020-10-22,25698,23717,455
277,2020-10-23,25775,23834,457
278,2020-10-24,25836,23869,457
279,2020-10-25,25955,23905,457
280,2020-10-26,26043,23981,460
281,2020-10-27,26146,24073,461
282,2020-10-28,26271,24168,462
283,2020-10-29,26385,24227,463
